ticker,20080530Value,20080530PB,20090601Value,20090601PB,20100601Value,20100601PB,20110601Value,20110601PB,20120601Value,20120601PB,20130531Value,20130531PB,20140530Value,20140530PB,20150601Value,20150601PB
000001,57862662268.3,4.1209,56829437844.6,3.3288,53724004082.6,2.4299,60743789871.7,1.6897,80846469564.5,1.0525,1.07539125232e+11,1.2116,1.09488575044e+11,0.9334,2.2750795158e+11,1.6642
000002,1.35722126143e+11,4.4936,1.11711335815e+11,3.4172,78725705160.9,2.0197,85982543904.8,1.8884,1.00606173495e+11,1.8508,1.31860955557e+11,2.0107,94177984257.4,1.2806,1.64359235856e+11,1.8493
000006,5863038508.72,3.0026,5979690658.98,3.3847,4016891435.04,1.877,5424324987.09,2.1687,5993384601.6,2.0584,6428547840.0,1.8133,6358476666.66,1.5555,22571916400.0,5.205
000009,7624865605.52,4.5045,10502369383.1,5.2812,10340315014.9,4.5485,17724696096.2,6.7849,12358203493.6,4.6178,14147034361.1,4.7051,12807047332.7,3.9786,33434255400.0,8.9712
000012,22298067837.5,5.306,22416308606.9,4.8493,23695841184.0,4.2105,33965700461.6,4.9919,20130754932.0,2.8628,22911704582.4,3.3129,14859402609.6,1.8166,33495914970.0,3.9451
000021,8979884099.41,2.5229,9833017064.78,2.8057,13518199667.8,3.6506,11464523916.9,2.733,7876088352.57,1.9228,7572654462.94,1.8965,7885950185.68,1.6604,22068891000.0,4.2536
000024,23077542159.6,2.9149,49406735471.3,3.2869,25793853555.1,1.5478,28369804309.6,1.5113,43361837700.8,2.0799,49114794385.8,2.0292,30361872893.0,1.1048,81503083312.0,2.5666
000028,5189570694.0,9.9391,5143466790.0,7.6647,8814490146.0,9.9417,8500407300.0,7.4589,7719522426.0,5.2598,9105521040.0,4.7431,13997592999.8,3.224,31951496709.0,6.4397
000031,15099315536.7,4.4507,15217208090.4,4.752,12442198748.6,2.1184,10501505940.8,2.3013,8615225081.0,1.9124,8016693654.32,1.6583,5967176950.84,1.1146,21075561192.0,3.5268
000039,39935940765.0,2.441,24281051985.1,1.784,32161744296.1,2.2105,55164846176.7,3.1221,40069060567.6,2.1155,34078669452.8,1.7384,33599438163.6,1.6114,74993955710.0,3.2837
000050,3943097500.0,2.5713,3095140125.0,2.3886,3686604750.0,3.2047,6190280250.0,5.0613,4094313375.0,3.1175,10152519000.0,7.4024,7137772125.0,4.7127,33205206856.5,4.0126
000060,20059010400.0,5.3906,20373460800.0,5.6534,23057331528.0,5.5839,27003896119.2,5.745,19226609001.6,3.5441,18752132599.2,3.2915,11593727745.6,1.8939,49076089040.0,6.736
000061,9141103962.36,5.3347,7902068966.16,2.7518,12572788442.4,4.3025,12588158599.4,4.0656,9434202373.42,2.894,12404807797.6,2.5489,16409643146.8,3.3795,43035012112.0,8.8113
000063,66523635994.5,5.1914,48050925188.7,3.3412,64597020612.8,3.1929,74850364269.2,3.223,52598792925.8,2.161,43448185392.6,1.9882,45203667805.7,1.9376,1.09760693709e+11,4.2827
000066,3599158275.0,2.0472,4539065850.0,3.8771,10123492320.0,4.4557,9847538511.84,2.9442,6101767814.46,1.9335,4751702050.74,1.681,5664981832.08,2.186,31382411369.0,12.5433
000069,35410900582.3,6.9385,42723736453.8,7.4468,38253054426.2,3.5362,41167868809.0,3.0975,44283426266.9,2.6701,46755735779.4,2.2913,34466164502.3,1.405,89292088356.0,3.1185
000078,4013817600.0,5.6245,4404445098.75,6.2186,7575645569.85,11.6909,6844833938.65,8.9367,4743750498.95,5.8036,5861027978.55,4.0694,5421999665.55,3.6836,24131924422.0,16.4536
000090,3348671480.0,1.0969,3141662697.6,1.3622,4013839405.8,1.4621,4968210777.6,1.2464,3808352746.8,1.245,4591028599.08,1.1931,4138455647.06,1.241,16481993764.0,4.2181
000099,3348672000.0,2.4693,3728736000.0,2.5505,3292176000.0,2.1532,5341440000.0,3.2883,4596720000.0,2.6432,4257744000.0,2.1291,4670776025.56,1.8947,14297200736.0,5.2381
000157,32077890000.0,8.036,31150080000.0,5.7589,35419853048.8,2.6316,84291281999.6,2.7132,84765494550.0,2.2605,54404035593.0,1.3145,34907971846.5,0.8305,68814170113.0,1.7049
000401,14249005087.2,5.3794,17160704188.1,2.9045,17427513723.2,2.5923,29227771797.4,3.6225,24686619784.5,2.1984,15186583240.8,1.352,10483728270.9,0.9137,23029166361.0,2.0573
