indexID,ticker,porgFullName,secShortName,exchangeCD,tradeDate,preCloseIndex,openIndex,lowestIndex,highestIndex,closeIndex,turnoverVol,turnoverValue,CHG,CHGPct
000001.ZICN,000001,上海证券交易所,上证综指,XSHG,2014-01-02,2115.978,2112.126,2101.016,2113.11,2109.387,6848548600,61921354651.0,-6.591,-0.003115
000001.ZICN,000001,上海证券交易所,上证综指,XSHG,2014-01-03,2109.387,2101.542,2075.899,2102.167,2083.136,8449724100,72372229162.0,-26.251,-0.012445
000001.ZICN,000001,上海证券交易所,上证综指,XSHG,2014-01-06,2083.136,2078.684,2034.006,2078.684,2045.709,8958760800,72895394974.0,-37.427,-0.017967
000001.ZICN,000001,上海证券交易所,上证综指,XSHG,2014-01-07,2045.709,2034.224,2029.246,2052.279,2047.317,6340293800,54638641623.0,1.608,0.000786
000001.ZICN,000001,上海证券交易所,上证综指,XSHG,2014-01-08,2047.317,2047.256,2037.11,2062.952,2044.34,7164736400,62941429756.0,-2.977,-0.001454
000001.ZICN,000001,上海证券交易所,上证综指,XSHG,2014-01-09,2044.34,2041.773,2026.446,2057.196,2027.622,7594188300,67605664108.0,-16.718,-0.008178
000001.ZICN,000001,上海证券交易所,上证综指,XSHG,2014-01-10,2027.622,2023.535,2008.007,2029.297,2013.298,7561612100,61044553200.0,-14.324,-0.007064
000001.ZICN,000001,上海证券交易所,上证综指,XSHG,2014-01-13,2013.298,2014.978,2000.404,2027.181,2009.564,6654477600,55616750648.0,-3.734,-0.001855
000001.ZICN,000001,上海证券交易所,上证综指,XSHG,2014-01-14,2009.564,2007.156,2001.135,2027.428,2026.842,7036661400,56687625248.0,17.278,0.008598
000001.ZICN,000001,上海证券交易所,上证综指,XSHG,2014-01-15,2026.842,2024.228,2010.204,2027.409,2023.348,6743622200,57740358255.0,-3.494,-0.001724
000001.ZICN,000001,上海证券交易所,上证综指,XSHG,2014-01-16,2023.348,2022.538,2014.407,2034.707,2023.701,7275571900,62829760799.0,0.353,0.000174
